,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2020-08-06 00:00:00,7.8,7.98,6.24,6.59,790342,2020
1,2020-08-07 00:00:00,6.59,6.59,4.66,4.99,274738,2020
2,2020-08-10 00:00:00,4.66,6.0,4.5,5.0,317438,2020
3,2020-08-11 00:00:00,5.34,5.35,4.5,4.845,140753,2020
4,2020-08-12 00:00:00,4.899,4.899,3.92,4.2,165918,2020
5,2020-08-13 00:00:00,4.2,4.2,3.36,3.4,213356,2020
6,2020-08-14 00:00:00,3.4,3.9,3.4,3.859,89840,2020
7,2020-08-17 00:00:00,3.9,3.9,3.6,3.7995,30931,2020
8,2020-08-18 00:00:00,3.66,3.7895,3.45,3.6489999999999996,31636,2020
9,2020-08-19 00:00:00,3.55,3.688,3.32,3.6489999999999996,78997,2020
10,2020-08-20 00:00:00,3.52,3.67,3.4,3.41,16372,2020
11,2020-08-21 00:00:00,3.45,3.799,3.375,3.79,195306,2020
12,2020-08-24 00:00:00,3.77,3.889,3.5405,3.6995,40115,2020
13,2020-08-25 00:00:00,3.69,3.69,3.502,3.51,53852,2020
14,2020-08-26 00:00:00,3.68,3.68,3.502,3.6,14762,2020
15,2020-08-27 00:00:00,3.65,3.84,3.6,3.73,28468,2020
16,2020-08-28 00:00:00,3.82,3.85,3.6155,3.85,37065,2020
17,2020-08-31 00:00:00,3.86,3.889,3.6510000000000002,3.8,19564,2020
18,2020-09-01 00:00:00,3.6210000000000004,3.65,3.35,3.45,41425,2020
19,2020-09-02 00:00:00,3.52,3.52,3.4,3.4,10074,2020
20,2020-09-03 00:00:00,3.5,3.569,3.38,3.38,8451,2020
21,2020-09-04 00:00:00,3.21,3.31,3.09,3.27,34567,2020
22,2020-09-07 00:00:00,3.279,3.279,2.73,2.84,44482,2020
23,2020-09-08 00:00:00,2.85,2.85,2.37,2.65,67780,2020
24,2020-09-09 00:00:00,2.53,2.9,2.53,2.89,12362,2020
25,2020-09-10 00:00:00,2.9,3.248,2.89,2.985,6947,2020
26,2020-09-11 00:00:00,2.985,3.0,2.96,2.985,4778,2020
27,2020-09-14 00:00:00,3.048,3.1,2.95,3.03,10629,2020
28,2020-09-15 00:00:00,2.95,3.49,2.88,3.385,13403,2020
29,2020-09-16 00:00:00,3.478,3.478,3.11,3.3,1033,2020
30,2020-09-17 00:00:00,3.2,3.3989999999999996,2.9,3.14,5350,2020
31,2020-09-18 00:00:00,3.14,3.24,2.95,3.24,10840,2020
32,2020-09-21 00:00:00,3.24,3.24,2.85,2.985,15095,2020
33,2020-09-22 00:00:00,2.99,3.14,2.9,3.09,4660,2020
34,2020-09-23 00:00:00,2.98,3.1,2.812,3.1,8034,2020
35,2020-09-24 00:00:00,3.07,3.07,2.94,3.048,200,2020
